id,origin,title,author,description,image
5591,Canadian,The Paper Wife,Linda Spalding,"At the heart of The Paper Wife is the relationship between two young women, Kate and Lily. It's the sixties and they have known each other half their lives. ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-paper-wife2/9780771080852_cover/391957589-1-eng-CA/9780771080852_cover_coverbookpage_embed.jpg
5592,Canadian,The Parabolist,Nicholas Ruddock,Parabolist: noun (1) one who speaks in parables. (2) a member of a splinter group of disaffected young poets in Mexico City c. 1975. (3) a practitioner of the ...,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-parabolist/9780385668736_cover/95165936-1-eng-CA/9780385668736_cover_coverbookpage_embed.jpg
5593,Canadian,The Paradise Motel,Eric McCormack,"From the acclaimed author of&nbsp;Cloud&nbsp;and&nbsp;The Dutch Wife, an early novel of Gothic terror that creeps into the blood and captivates with hypnotic fascination.On ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-paradise-motel/9780143198413_cover/391603515-1-eng-CA/9780143198413_cover_coverbookpage_embed.jpg
5594,Canadian,The Parallel Tribunal,André Lamontagne,"Dropouts, a murderer on the run, drifters, conspirators, rejects of society, contrarians – these are the unlikely heros of this collection of short stories ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-parallel-tribunal/9781771711562_cover/423183990-1-eng-CA/9781771711562_cover_coverbookpage_embed.jpg
5595,Canadian,The Parcel,Anosh Irani,"Finalist for the Writers'&nbsp;Trust Fiction Prize and for the Governor General's&nbsp;Literary Award, this powerful new work, about a transgender sex worker in the ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-parcel/9780345816740_cover/335447601-1-eng-CA/9780345816740_cover_coverbookpage_embed.jpg
5596,Canadian,The Parson's Christmas Gift & The Path to Her Heart,Kerri Mountain,Two stories of love and forgiveness in challenging timesThe Parson’s Christmas GiftParson Zane Thompson knows Miss Journey Smith is not what she seems. ...,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-parson-s-christmas-gift-the-path-to-her-heart2/9781335652799_cover/419951821-1-eng-CA/9781335652799_cover_coverbookpage_embed.jpg
5597,Canadian,The Party,Robyn Harding,"Robyn Harding’s domestic drama, hailed as “tense and riveting” by Megan Miranda, New York Times bestselling author of All the Missing Girls, explores the ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-party10/9781982123444_cover/425675636-1-eng-CA/9781982123444_cover_coverbookpage_embed.jpg
5598,Canadian,The Party Wall,Catherine Leroux,"Catherine Leroux's brilliant first novel in English shuffles between, and eventually ties together, stories about siblings joined in surprising ways. ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-party-wall/9781771960762_cover/140538523-1-eng-CA/9781771960762_cover_coverbookpage_embed.jpg
5599,Canadian,The Path of Most Resistance,Russell Wangersky,"As entertaining as they are insightful, the stories in The Path of Most Resistance are anchored by the concept of passive aggression in our everyday lives: ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-path-of-most-resistance/9781487000684_cover/420255894-1-eng-CA/9781487000684_cover_coverbookpage_embed.jpg
5600,Canadian,The Path of the Jaguar,Stephen Henighan,"As The Path of the Jaguar opens in 1997, Guatemala is emerging from thirty-six years of civil war. Amparo Ajuix, a determined young married woman who lives in ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-path-of-the-jaguar/9781771871235_cover/212975903-1-eng-CA/9781771871235_cover_coverbookpage_embed.jpg
5601,Canadian,The Path To Ardroe,John Lent,"The Path to Ardroe is an exploration of friendship and its limits, life changes, and the challenges and aspirations of writers. Peter Chisholm wrestles with ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-path-to-ardroe/9781927068014_cover/213635073-1-eng-CA/9781927068014_cover_coverbookpage_embed.jpg
5602,Canadian,The Path To Her Heart,Linda Ford,"First comes love, then comes forgiveness?But a widowed father struggling during the Depression doesn't have much faith in either?until he meets Emma Spencer in ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-path-to-her-heart2/9780373828043_cover/420281361-1-eng-CA/9780373828043_cover_coverbookpage_embed.jpg
5603,Canadian,The Penalty Box,Larry O'Connor,"&quot;The Stanley Cup. The oldest sports trophy that is continuously fought for. Where it all begins - and ends. The only one to love.&quot; Kyle Callendar, like ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-penalty-box/9781551303369_cover/210757987-1-eng-CA/9781551303369_cover_coverbookpage_embed.jpg
5604,Canadian,The Penalty Killing,Michael McKinley,"The action is intense in this debut mystery featuring Martin Carter, a former hockey star whose career was cut short by a head injury. Now he's has to solve ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-penalty-killing/9780771055829_cover/93356339-1-eng-CA/9780771055829_cover_coverbookpage_embed.jpg
5605,Canadian,The Perfect Order of Things,David Gilmour,"Like a tourist visiting his own life, David Gilmour’s narrator journeys in time to reexamine those critical moments that created him. He revisits the ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-perfect-order-of-things/9780887628078_author/424904634-1-eng-CA/9780887628078_author_coverbookpage_embed.jpg
5606,Canadian,The Perfect Outsider,Loreth Anne White,How can she leave him to die? June Farrow works for Cold Plains Search and Rescue as cover for her real mission?helping Devotees escape from Samuel Grayson's ...,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-perfect-outsider2/9780373277742_cover/420309999-1-eng-CA/9780373277742_cover_coverbookpage_embed.jpg
5607,Canadian,The Perfect Wife,Lynsay Sands,“You can’t help but fall in love with Lynsay Sands!”—Christina DoddA most-willing beauty wants to be The Perfect Wife—with everything that ...,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-perfect-wife2/9780062019776_cover/424299962-1-eng-CA/9780062019776_cover_coverbookpage_embed.jpg
5608,Canadian,The Performance,Ann Eriksson,"Naive and talented, Hana Knight is a young classical pianist who has been gifted with a musical upbringing, a magnificent Steinway piano, a place at Juilliard ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-performance/9781771621250_cover/420806421-1-eng-CA/9781771621250_cover_coverbookpage_embed.jpg
5609,Canadian,The Pharos Gate,Nick Bantock,"A love story for the ages, the tale of Griffin and Sabine is an international sensation that spent over 100 weeks on theNew York Times bestseller list and ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-pharos-gate/9781452151250_interior/140554501-1-eng-CA/9781452151250_interior_coverbookpage_embed.jpg
5610,Canadian,The Philosopher Kings,Jo Walton,"From acclaimed, award-winning author Jo Walton:Philosopher Kings,a tale of gods and humans, and the surprising things they have to learn from one another. ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-philosopher-kings/9780765332677_cover/304597320-1-eng-CA/9780765332677_cover_coverbookpage_embed.jpg
5611,Canadian,The Piano Maker,Kurt Palka,"The suspenseful, emotionally resonant, and utterly compelling story of what brings an enigmatic French woman to a small Canadian town in the 1930s, a woman ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-piano-maker/9780771071287_cover/391823294-1-eng-CA/9780771071287_cover_coverbookpage_embed.jpg
5612,Canadian,The Piano Man's Daughter,Timothy Findley,"Just before the outbreak of the Second World War, a young piano tuner, Charlie Kilworth, faces two enigmatic questions: Who was his father? And, does he dare ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-piano-man-s-daughter/9781554684793_cover/424435656-1-eng-CA/9781554684793_cover_coverbookpage_embed.jpg
5613,Canadian,The Pilgrim,Paul Almond,"In 1896, Jack Alford is sent to the granite shores on the St. Lawrence River. Hazards imperil his life as he travels the coastline by boat and dogsled. His ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-pilgrim/9781770871632_cover/286671343-1-eng-CA/9781770871632_cover_coverbookpage_embed.jpg
5614,Canadian,The Pillow Book of Dr. Jazz,Trevor Carolan,The Pillowbook of Doctor Jazz is autobiographical fiction in the tradition of Jack Kerouac: on the road in the Golden Triangle of Southeast Asia. Recalling the ...,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-pillow-book-of-dr.-jazz/9781894800792_cover/423166047-1-eng-CA/9781894800792_cover_coverbookpage_embed.jpg
5615,Canadian,The Pink House and Other Stories,Licia Canton,"The Pink House, Licia Canton’s much anticipated second collection of short fiction, like her first, Almond Wine and Fertility, delves into the lives of ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-pink-house-and-other-stories/9781928065104_cover/416659985-1-eng-CA/9781928065104_cover_coverbookpage_embed.jpg
5616,Canadian,The Pioneer,Paul Almond,"The riveting Alford Saga continues with James Alford, the Deserter, battling old age and ferocious winters, but even more crippling, the departure of his son ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-pioneer/9781770871236_cover/419712467-1-eng-CA/9781770871236_cover_coverbookpage_embed.jpg
5617,Canadian,The Place,Gary Collins,"In a small, isolated outport on the northeast coast of Newfoundland toward the end of the nineteenth century—where nothing of note ever seems to happen—a ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-place/9781771177696_cover/422981508-1-eng-CA/9781771177696_cover_coverbookpage_embed.jpg
5618,Canadian,The Placebo Effect,David Rotenberg,Decker Roberts has the dangerous gift of detecting the truth. For years this talent proved to be a lucrative sideline to his acting teaching. Only his closest ...,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-placebo-effect/9781476713076_cover/418896151-1-eng-CA/9781476713076_cover_coverbookpage_embed.jpg
5619,Canadian,The Place of Shining Light,Nazneen Sheikh,"Three men race against time to take possession of a sacred 5,000-year-old Buddhist sculpture: Khalid, a leading Pakistani antiquities dealer, arranges for the ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-place-of-shining-light/9781487000141_cover/409964309-1-eng-CA/9781487000141_cover_coverbookpage_embed.jpg
5620,Canadian,The Plague,Kevin Chong,A modern retelling of the Camus classic that posits its story of infectious disease and quarantine in our contemporary age of social justice and rising ...,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-plague/9781551527185_cover/425095239-1-eng-CA/9781551527185_cover_coverbookpage_embed.jpg
5621,Canadian,The Platinum Briefcase,Henry Cline,"Detroit, Michigan, 1976: Violence and crime roam the streets daily looking for new victims to punish, and our main character is no exception. ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-platinum-briefcase/9781988281278_cover/286545420-1-eng-CA/9781988281278_cover_coverbookpage_embed.jpg
5622,Canadian,The Playboy's Plain Jane,Cara Colter,"The playboyGood-looking and confi dent, sports hero Dylan McKinnon simply has that indefi nable thing that makes him irresistible to the opposite sex.His plain ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-playboy-s-plain-jane2/9780373183517_cover/420309511-1-eng-CA/9780373183517_cover_coverbookpage_embed.jpg
5623,Canadian,The Pleasant Nights - Volume 2,Don Beecher,"Renowned today for his contribution to the rise of the modern European fairy tale, Giovan Francesco Straparola (c. 1480–c. 1557) is particularly known for ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-pleasant-nights-volume-2/9781442644274_cover/402675846-1-eng-CA/9781442644274_cover_coverbookpage_embed.jpg
5624,Canadian,The Pleasure Garden,Amanda McIntyre,"Many lifetimes ago, the beautiful May Queen exquisite seduction not with her husband, but in the arms of the Green Man?the passionate ruler of all that is warm ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-pleasure-garden/9780373605545_cover/420242028-1-eng-CA/9780373605545_cover_coverbookpage_embed.jpg
5625,Canadian,The Poet is a Radio,Jack Hannan,"The poet Li Bai has journeyed across the world and perhaps across centuries. When he comes across a bag of money in a downtown parking lot, we also meet the ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-poet-is-a-radio2/9781927535981_cover/385402689-1-eng-CA/9781927535981_cover_coverbookpage_embed.jpg
5626,Canadian,The Poisoned Pawn,Peggy Blair,When Cuban Inspector Ricardo Ramirez is dispatched to Canada &nbsp; and told to bring home a priest found in possession of child pornography&nbsp;depicting Cuban ...,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-poisoned-pawn/9780143179993_cover/410343459-1-eng-CA/9780143179993_cover_coverbookpage_embed.jpg
5627,Canadian,The Pole,Eric Walters,"The Pole is Eric Walters’s powerful fictionalized retelling of Robert Peary’s 1909 expedition to the North Pole aboard The Roosevelt, as experienced by a ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-pole/9780143312482_cover/335606724-1-eng-CA/9780143312482_cover_coverbookpage_embed.jpg
5628,Canadian,The Postman's Fiancee,Denis Thériault,Tania moves from Bavaria to Montreal to fine-tune her French and fall in love. Finding work as a waitress at a low-key restaurant in a working-class area of ...,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-postman-s-fiancee/9781786071132_cover/205966920-1-eng-CA/9781786071132_cover_coverbookpage_embed.jpg
5629,Canadian,The Prairie Bridesmaid,Daria Salamon,"Just cresting her thirties, Anna Lasko, a frustrated school teacher whose almost ex-boyfriend, Adam, is away on temporary assignment in Europe, finds herself ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-prairie-bridesmaid/9781554701834_cover/93748363-1-eng-CA/9781554701834_cover_coverbookpage_embed.jpg
