title_url,title,authors,image,description
https://49thshelf.com/Books/E/Elevator-Pitch,Elevator Pitch,Linwood Barclay,https://images.49thshelf.com/var/ezflow_site/storage/images/books/e/elevator-pitch/9780385690256_cover/405303101-1-eng-CA/9780385690256_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/G/Gamechanger,Gamechanger,L. X. Beckett,https://images.49thshelf.com/var/ezflow_site/storage/images/books/g/gamechanger/9781250165268_cover/421951924-1-eng-CA/9781250165268_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/E/Empire-of-Wild,Empire of Wild,Cherie Dimaline,https://images.49thshelf.com/var/ezflow_site/storage/images/books/e/empire-of-wild/9780735277182_cover/419763432-1-eng-CA/9780735277182_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/T/The-Testaments2,The Testaments,Margaret Atwood,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-testaments2/9780771009433_cover/419896094-1-eng-CA/9780771009433_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/R/Remembering-the-Dead,Remembering the Dead,Elizabeth J. Duncan,https://images.49thshelf.com/var/ezflow_site/storage/images/books/r/remembering-the-dead/9781643851136_cover/398527653-1-eng-CA/9781643851136_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/A/A-Delhi-Obsession,A Delhi Obsession,MG Vassanji,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-delhi-obsession/9780385692854_cover/405378538-1-eng-CA/9780385692854_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/A/Akin2,Akin,Emma Donoghue,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/akin2/9781443458948_cover/424191724-1-eng-CA/9781443458948_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/T/The-Difference,The Difference,Marina Endicott,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-difference/9780735276680_cover/422558274-1-eng-CA/9780735276680_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/I/Indians-Don-t-Cry3,Indians Don't Cry,George Kenny,https://images.49thshelf.com/var/ezflow_site/storage/images/books/i/indians-don-t-cry/9780887557699_cover/410090345-1-eng-CA/9780887557699_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/S/Sanaaq3,Sanaaq,Mitiarjuk Nappaaluk,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/sanaaq/9780887557484_cover/415108130-1-eng-CA/9780887557484_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/K/Kill-Zone,Kill Zone,Kevin J. Anderson,https://images.49thshelf.com/var/ezflow_site/storage/images/books/k/kill-zone/9781250183446_cover/331469503-1-eng-CA/9781250183446_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/A/A-Better-Man2,A Better Man,Louise Penny,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-better-man2/9781250066213_cover/421900645-1-eng-CA/9781250066213_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/L/Lampedusa,Lampedusa,Steven Price,https://images.49thshelf.com/var/ezflow_site/storage/images/books/l/lampedusa/9780771071683_cover/419699017-1-eng-CA/9780771071683_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/T/The-Innocents,The Innocents,Michael Crummey,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-innocents/9780385685412_cover/419902624-1-eng-CA/9780385685412_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/A/A-Better-Man-signed,A Better Man (signed),Louise Penny,,
https://49thshelf.com/Books/G/Going-Dutch2,Going Dutch,James Gregor,https://images.49thshelf.com/var/ezflow_site/storage/images/books/g/going-dutch2/9781982103194_cover/419843186-1-eng-CA/9781982103194_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/T/The-Retreat3,The Retreat,Sherri Smith,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-retreat3/9780765386731_cover/422180905-1-eng-CA/9780765386731_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/B/Bursts-of-Fire,Bursts of Fire,Susan Forest,https://images.49thshelf.com/var/ezflow_site/storage/images/books/b/bursts-of-fire/9781988140117_cover/422462194-1-eng-CA/9781988140117_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/C/City-of-Windows,City of Windows,Robert Pobi,https://images.49thshelf.com/var/ezflow_site/storage/images/books/c/city-of-windows/9781250293947_cover/421836936-1-eng-CA/9781250293947_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/Y/You-ve-Been-Volunteered,You've Been Volunteered,Laurie Gelman,https://images.49thshelf.com/var/ezflow_site/storage/images/books/y/you-ve-been-volunteered/9781250301857_cover/421903953-1-eng-CA/9781250301857_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/I/If-You-Want-to-Make-God-Laugh,If You Want to Make God Laugh,Bianca Marais,https://images.49thshelf.com/var/ezflow_site/storage/images/books/i/if-you-want-to-make-god-laugh/9780735219311_cover/391633906-1-eng-CA/9780735219311_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/W/Wherever-She-Goes2,Wherever She Goes,K.L. Armstrong,https://images.49thshelf.com/var/ezflow_site/storage/images/books/w/wherever-she-goes2/9780385694681_cover/399780583-1-eng-CA/9780385694681_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/T/The-Age-of-Innocence,The Age of Innocence,Edith Wharton,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-age-of-innocence/9781509890033_cover/421164546-1-eng-CA/9781509890033_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/S/Stealing-Worlds,Stealing Worlds,Karl Schroeder,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/stealing-worlds/9780765399984_cover/421882080-1-eng-CA/9780765399984_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/B/Bunny2,Bunny,Mona Awad,https://images.49thshelf.com/var/ezflow_site/storage/images/books/b/bunny2/9780735235885_cover/422478145-1-eng-CA/9780735235885_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/T/The-Body-in-Question,The Body in Question,Jill Ciment,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-body-in-question/9781524747985_cover/403364701-1-eng-CA/9781524747985_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/L/Lent,Lent,Jo Walton,https://images.49thshelf.com/var/ezflow_site/storage/images/books/l/lent/9780765379061_cover/422078595-1-eng-CA/9780765379061_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/B/Bina,Bina,Anakana Schofield,https://images.49thshelf.com/var/ezflow_site/storage/images/books/b/bina/9780735273214_cover/385472072-1-eng-CA/9780735273214_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/A/A-Brightness-Long-Ago,A Brightness Long Ago,Guy Gavriel Kay,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-brightness-long-ago/9780670068708_cover/398432264-1-eng-CA/9780670068708_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/C/Children-of-the-Moon,Children of the Moon,Anthony De Sa,https://images.49thshelf.com/var/ezflow_site/storage/images/books/c/children-of-the-moon/9780385685979_cover/367942196-1-eng-CA/9780385685979_cover_coverbookpage_embed.jpg,
