title,authors,image,description
A Better Man,Louise Penny,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-better-man3/9781250066312_cover/422310843-1-eng-CA/9781250066312_cover_coverbookpage_embed.jpg,"“A Better Man, with its mix of meteorological suspense, psychological insight and criminal pursuit, is arguably the best book yet in an outstanding, ..."
A Bird in the House,Margaret Laurence,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-bird-in-the-house2/9780771046261_cover/206133546-1-eng-CA/9780771046261_cover_coverbookpage_embed.jpg,"One of Canada’s most accomplished authors combines the best qualities of both the short story and the novel to create a lyrical evocation of the beauty, ..."
A Bird in the House,Margaret Laurence,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-bird-in-the-house3/9780735252820_cover/405363234-1-eng-CA/9780735252820_cover_coverbookpage_embed.jpg,"One of Canada's most accomplished authors combines the best qualities of both the short story and the novel to create a lyrical evocation of the beauty, pain, ..."
A Bird on Every Tree,Carol Bruneau,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-bird-on-every-tree/9781771085021_cover/365623330-1-eng-CA/9781771085021_cover_coverbookpage_embed.jpg,"Carol Bruneau, author of six acclaimed works of fiction (most recently, These Good Hands), brings her finely honed voice to 12 new stories about shifting ..."
A Bird's Eye,Cary Fagan,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-bird-s-eye2/9781770893108_cover/374339137-1-eng-CA/9781770893108_cover_coverbookpage_embed.jpg,"Shortlisted for the Rogers Writers' Trust Fiction Prize, and selected as an Amazon.ca Best Book.With all the wonder of a small-scale The Amazing Adventures of ..."
Able Muse Anthology,Alexander Pepple,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/able-muse-anthology/9780986533808_cover/96779299-1-eng-CA/9780986533808_cover_coverbookpage_embed.jpg,"The Able Muse Anthology — from the new Able Muse Press — celebrates Able Muse’s journey through its first decade and beyond, by showcasing the best of ..."
"Able Muse - a review of poetry, prose and art",Alexander Pepple,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/able-muse-a-review-of-poetry-prose-and-art/9780986533853_cover/108970163-1-eng-CA/9780986533853_cover_coverbookpage_embed.jpg,"This is the seminannual Able Muse Review (Print Edition) - Summer, 2011 issue. This issue continues the tradition of masterfully crafted poetry, fiction, ..."
"Able Muse - a review of poetry, prose and art",Alexander Pepple,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/able-muse-a-review-of-poetry-prose-and-art2/9781927409015_cover/108970266-1-eng-CA/9781927409015_cover_coverbookpage_embed.jpg,"This is the seminannual&nbsp;Able Muse Review (Print Edition) - Summer, 2012 issue. This issue continues the tradition of masterfully crafted poetry, fiction, ..."
"Able Muse - a review of poetry, prose and art",Alexander Pepple,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/able-muse-a-review-of-poetry-prose-and-art3/9780986533891_cover/108970363-1-eng-CA/9780986533891_cover_coverbookpage_embed.jpg,"This is the seminannual&nbsp;Able Muse Review&nbsp;(Print Edition) - Winter, 2011 issue. This issue continues the tradition of masterfully crafted poetry, fiction, ..."
"Able Muse - a review of poetry, prose and art",Alexander Pepple,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/able-muse-a-review-of-poetry-prose-and-art4/9780986533822_cover/108970473-1-eng-CA/9780986533822_cover_coverbookpage_embed.jpg,"This is the much anticipated inaugural print edition of Able Muse Review. It’s an issue filled with the usual masterfully crafted poetry, fiction, essays, ..."
A Blessed Snarl,Samuel Martin,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-blessed-snarl/9781550813814_cover/414408178-1-eng-CA/9781550813814_cover_coverbookpage_embed.jpg,"Patrick Wiseman moved his wife and son back to Newfoundland to start a new Pentecostal church, but when his wife Anne leaves him for a man she meets on ..."
A Blue Spruce Christmas,Brian Fawcett,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-blue-spruce-christmas/9781897151945_cover/134770432-1-eng-CA/9781897151945_cover_coverbookpage_embed.jpg,"Set in 1957, A Blue Spruce Christmas reminds us what it was like to grow up in small town Canada during the Cold War. Set against the backdrop of the ..."
Ablutions,Patrick deWitt,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/ablutions/9781770892149_cover/423223219-1-eng-CA/9781770892149_cover_coverbookpage_embed.jpg,"From the author of the award-winning The Sisters Brothers comes a dark, boozy, and hilarious tale from the LA underworld.A nameless barman tends a decaying bar ..."
A Book of Great Worth,Dave Margoshes,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-book-of-great-worth/9781550504767_cover/304187274-1-eng-CA/9781550504767_cover_coverbookpage_embed.jpg,"Set largely among the Jewish community of inter-war New York City, this is a beautifully-told collection of scenes from Morgenstern's life. The tricky ground ..."
A Borrowing of Bones,Paula Munier,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-borrowing-of-bones/9781250153036_cover/313808541-1-eng-CA/9781250153036_cover_coverbookpage_embed.jpg,"The first in a gripping new series by Paula Munier,A Borrowing of Bones is full of complex twists, introducing a wonderful new voice for mystery readers and ..."
A Bounty of Evil,Markus Matthews,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-bounty-of-evil/9780228819097_cover/405903723-1-eng-CA/9780228819097_cover_coverbookpage_embed.jpg,"Air elemental Zack Stevens is on a roll. His bounty-hunting business is thriving, he’s survived a battle with a master vampire, and he’s taken on four new ..."
A Bounty with Strings,Markus Matthews,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-bounty-with-strings2/9780228819127_cover/406083945-1-eng-CA/9780228819127_cover_coverbookpage_embed.jpg,"It’s been six years since the Hamilton Hurricane patrolled the skies above Hamilton, Ontario. The thirty-three-year-old once used his elemental powers of Air ..."
About Love,Anton Chekhov,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/about-love/9781926845425_cover/90201539-1-eng-CA/9781926845425_cover_coverbookpage_embed.jpg,"Written in France toward the end of his career, these stories are Chekhov's only attempt at the linked collection. The first is a grotesque Gogolian comedy; ..."
Above All Things,Tanis Rideout,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/above-all-things/9780771076350_cover/193206963-1-eng-CA/9780771076350_cover_coverbookpage_embed.jpg,"The Paris Wife meets Into Thin Air in this breathtaking debut novel of obsession and divided loyalties, which brilliantly weaves together the harrowing story ..."
Above All Things,Tanis Rideout,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/above-all-things/9780771076350_cover/193206963-1-eng-CA/9780771076350_cover_coverbookpage_embed.jpg,"The Paris Wife meets Into Thin Air in this breathtaking debut novel of obsession and divided loyalties, which brilliantly weaves together the harrowing story ..."
